Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 02163,2401,,,37,79,14,13726,2163
ZCTA5 02169,56584,,,18173,1718,625,38103,2169
ZCTA5 02170,19367,,,5888,388,306,37552,2170
ZCTA5 02171,18170,,,5364,494,175,39211,2171
ZCTA5 02176,28116,,,10322,137,662,50077,2176
ZCTA5 02180,22144,,,9963,148,357,46342,2180
ZCTA5 02184,37207,,,13939,254,829,45431,2184
ZCTA5 02186,27568,,,8871,161,752,50187,2186
ZCTA5 02188,15287,,,6584,43,170,40276,2188
ZCTA5 02189,15603,,,6287,131,272,39222,2189
ZCTA5 02190,17196,,,7463,31,401,44770,2190
ZCTA5 02191,8298,,,3456,128,174,39704,2191
ZCTA5 02199,1149,,,91,5,0,93625,2199
ZCTA5 02210,3196,,,861,101,177,95549,2210
ZCTA5 02215,25619,,,1605,1504,507,10137,2215
ZCTA5 02301,62929,,,21650,1267,513,28387,2301
ZCTA5 02302,32497,,,12138,462,372,32531,2302
ZCTA5 02322,4482,,,2012,44,66,32660,2322
ZCTA5 02324,27397,,,10772,9,626,32436,2324
ZCTA5 02330,11661,,,4887,0,254,34441,2330
ZCTA5 02332,15703,,,5278,123,859,55563,2332
ZCTA5 02333,14386,,,6224,4,250,39420,2333
ZCTA5 02338,7824,,,3588,0,110,39106,2338
ZCTA5 02339,14397,,,5921,59,387,54385,2339
ZCTA5 02341,10668,,,4900,3,332,41293,2341
ZCTA5 02343,10728,,,3738,146,98,37365,2343
ZCTA5 02346,24463,,,11273,35,524,39306,2346
ZCTA5 02347,11335,,,5404,0,220,45099,2347
ZCTA5 02351,16330,,,7212,57,239,40669,2351
ZCTA5 02356,12962,,,5499,40,386,44885,2356
ZCTA5 02357,1126,,,120,0,64,3667,2357
ZCTA5 02359,18304,,,8391,41,413,42368,2359
ZCTA5 02360,59133,,,23917,344,1546,39003,2360
ZCTA5 02364,13381,,,5767,33,526,42456,2364
ZCTA5 02366,198,,,0,0,0,10000,2366
ZCTA5 02367,2945,,,1221,7,68,46232,2367
ZCTA5 02368,34232,,,13324,594,280,31811,2368
ZCTA5 02370,17909,,,8061,67,304,40671,2370
ZCTA5 02375,10218,,,4740,0,249,44075,2375
ZCTA5 02379,7165,,,3126,31,54,40524,2379
ZCTA5 02382,14961,,,7037,6,189,37376,2382
ZCTA5 02420,14496,,,5226,141,607,74418,2420
ZCTA5 02421,18984,,,6108,156,842,70815,2421
ZCTA5 02445,21324,,,4048,903,987,61232,2445
ZCTA5 02446,29834,,,4734,777,1065,57473,2446
ZCTA5 02451,18699,,,8142,302,534,44078,2451
ZCTA5 02452,15288,,,5592,113,524,32471,2452
ZCTA5 02453,28877,,,10902,941,739,37333,2453
ZCTA5 02457,1715,,,110,0,139,3695,2457
ZCTA5 02458,12522,,,4655,703,447,54606,2458
ZCTA5 02459,19463,,,6274,171,1053,71357,2459
ZCTA5 02460,9754,,,3417,348,462,59517,2460
